iter	Passed	Remaining
178	298	1366
179	298	1361
180	299	1356
181	301	1355
182	303	1352
183	303	1347
184	304	1342
185	305	1336
186	306	1332
187	307	1328
188	308	1324
189	309	1319
190	310	1315
191	311	1309
192	312	1305
193	313	1301
194	314	1297
195	315	1293
196	316	1288
197	316	1283
198	317	1279
199	318	1274
200	319	1270
201	320	1267
202	321	1262
203	322	1258
204	323	1255
205	324	1250
206	325	1246
207	326	1242
208	327	1238
209	328	1234
210	328	1229
211	329	1225
212	330	1221
213	331	1217
214	332	1213
215	333	1209
216	334	1205
217	334	1201
218	335	1197
219	336	1192
220	337	1188
221	338	1185
222	339	1182
223	340	1178
224	341	1174
225	341	1170
226	342	1167
227	343	1163
228	344	1159
229	345	1156
230	346	1152
231	347	1148
232	347	1145
233	348	1141
234	349	1137
235	350	1134
236	351	1130
237	352	1127
238	352	1123
239	353	1120
240	354	1116
241	355	1113
242	356	1109
243	357	1106
244	358	1103
245	358	1100
246	359	1096
247	360	1093
248	361	1089
249	362	1086
250	362	1082
251	364	1080
252	365	1077
253	365	1074
254	366	1071
255	367	1068
256	369	1067
257	370	1065
258	371	1062
259	372	1059
260	373	1058
261	374	1055
262	376	1053
263	377	1051
264	378	1048
265	379	1045
266	379	1043
267	380	1040
268	383	1041
269	384	1038
270	385	1036
271	386	1033
272	387	1030
273	388	1028
274	389	1025
275	390	1023
276	391	1020
277	391	1017
278	392	1015
279	393	1012
280	394	1009
281	395	1006
282	396	1004
283	397	1001
284	398	999
285	399	996
286	399	993
287	400	991
288	401	988
289	403	986
290	403	984
291	404	981
292	405	979
293	406	976
294	407	974
295	408	971
296	409	969
297	410	966
298	411	964
299	411	961
300	412	958
301	413	955
302	414	953
303	415	951
304	416	949
305	417	946
306	418	943
307	418	940
308	419	938
309	420	935
310	421	933
311	422	931
312	423	928
313	423	926
314	424	923
315	425	921
316	426	918
317	427	916
318	428	914
319	429	911
320	429	909
321	430	907
322	431	904
323	432	902
324	433	900
325	434	899
326	435	897
327	436	894
328	437	892
329	438	890
330	439	888
331	440	885
332	441	883
333	441	881
334	442	878
335	443	876
336	444	875
337	445	873
338	446	871
339	447	868
340	448	866
341	449	864
342	450	861
343	450	859
344	451	857
345	452	855
346	453	853
347	454	850
348	454	848
349	455	846
350	456	843
351	457	841
352	458	840
353	459	838
354	460	835
355	461	833
356	461	831
357	462	829
358	463	827
359	464	825
360	465	823
361	466	821
362	467	819
363	467	817
364	468	815
365	469	812
366	469	810
367	470	808
368	471	806
369	472	804
370	473	802
371	474	800
372	475	798
373	475	796
374	476	794
375	477	792
376	478	790
377	479	788
378	480	786
379	480	784
380	481	782
381	482	780
382	483	778
383	484	776
384	485	774
385	485	772
386	486	770
387	487	768
388	488	767
389	489	765
390	490	763
391	491	761
392	491	759
393	492	758
394	493	755
395	494	753
396	495	751
397	495	750
398	496	748
399	497	746
400	498	745
401	499	743
402	500	741
403	501	739
404	502	738
405	504	737
406	505	735
407	505	734
408	506	732
409	507	730
410	508	728
411	509	726
412	510	725
413	511	723
414	512	721
415	512	720
416	513	718
417	514	716
418	515	714
419	516	712
420	517	711
421	517	709
422	518	707
423	519	705
424	520	703
425	521	702
426	521	700
427	522	698
428	523	696
429	524	695
430	525	693
431	526	691
432	526	690
433	527	688
434	528	686
435	529	685
436	530	683
437	531	681
438	532	679
439	532	678
440	533	676
441	534	675
442	535	673
443	536	671
444	537	670
445	538	668
446	538	666
447	539	664
448	540	663
449	541	661
450	542	659
451	542	658
452	543	656
453	544	655
454	545	653
455	546	651
456	547	650
457	547	648
458	548	646
459	549	645
460	550	643
461	551	641
462	551	640
463	552	638
464	553	636
465	554	635
466	555	633
467	555	631
468	556	630
469	557	628
470	558	626
471	558	625
472	559	623
473	560	622
474	561	620
475	562	618
476	562	617
477	563	615
478	564	613
479	565	612
480	565	610
481	566	609
482	567	607
483	568	605
484	569	604
485	569	602
486	570	600
487	571	599
488	572	597
489	572	596
490	573	594
491	574	593
492	575	591
493	576	590
494	576	588
495	577	586
496	578	585
497	579	583
498	580	582
499	580	580
500	581	579
501	582	577
502	583	576
503	584	574
504	584	573
505	585	571
506	586	570
507	587	568
508	588	567
509	588	565
510	589	564
511	590	562
512	591	561
513	591	559
514	592	558
515	593	556
516	594	555
517	595	553
518	595	552
519	596	550
520	597	549
521	598	547
522	599	546
523	599	544
524	600	543
525	601	542
526	602	540
527	603	539
528	603	537
529	604	536
530	605	534
531	606	533
532	607	531
533	607	530
534	608	528
535	609	527
536	610	526
537	610	524
538	611	523
539	612	521
540	613	520
541	614	518
542	614	517
543	615	516
544	616	514
545	617	513
546	618	511
547	618	510
548	619	509
549	620	507
550	621	506
551	621	504
552	622	503
553	623	501
554	624	500
555	625	499
556	625	497
557	626	496
558	627	494
559	628	493
560	628	492
561	629	490
562	630	489
563	631	488
564	632	486
565	633	485
566	633	484
567	634	482
568	635	481
569	636	479
570	636	478
571	637	477
572	638	475
573	639	474
574	639	473
575	640	471
576	641	470
577	642	468
578	643	467
579	643	466
580	644	464
581	645	463
582	646	462
583	647	461
584	647	459
585	648	458
586	649	457
587	650	455
588	651	454
589	651	453
590	652	451
591	653	450
592	654	448
593	655	447
594	655	446
595	656	445
596	657	443
597	658	442
598	659	441
599	659	439
600	660	438
601	661	437
602	662	436
603	663	435
604	664	433
605	665	432
606	666	431
607	667	430
608	667	428
609	669	427
610	670	426
611	670	425
612	671	423
613	672	422
614	672	421
615	673	420
616	674	418
617	675	417
618	676	416
619	677	414
620	677	413
621	678	412
622	679	411
623	680	409
624	681	408
625	681	407
626	682	406
627	683	404
628	684	403
629	685	402
630	685	401
631	686	399
632	687	398
633	688	397
634	689	396
635	690	394
636	690	393
637	691	392
638	692	391
639	693	389
640	694	388
641	694	387
642	695	386
643	696	384
644	697	383
645	697	382
646	698	381
647	699	379
648	700	378
649	701	377
650	701	376
651	702	375
652	703	373
653	704	372
654	704	371
655	705	370
656	706	368
657	707	367
658	708	366
659	708	365
660	709	363
661	710	362
662	711	361
663	711	360
664	712	359
665	713	357
666	714	356
667	715	355
668	715	354
669	716	352
670	717	351
671	718	350
672	719	349
673	719	348
674	720	346
675	721	345
676	722	344
677	722	343
678	723	342
679	724	340
680	725	339
681	726	338
682	726	337
683	727	336
684	728	334
685	729	333
686	730	332
687	731	331
688	731	330
689	732	329
690	733	328
691	734	326
692	735	325
693	735	324
694	736	323
695	737	322
696	738	320
697	739	319
698	739	318
699	740	317
700	741	316
701	742	314
702	742	313
703	743	312
704	744	311
705	745	310
706	746	309
707	746	308
708	747	306
709	748	305
710	749	304
711	749	303
712	750	302
713	751	301
714	752	300
715	753	298
716	754	297
717	754	296
718	755	295
719	756	294
720	757	293
721	758	291
722	758	290
723	759	289
724	760	288
725	761	287
726	762	286
727	762	284
728	763	283
729	764	282
730	765	281
731	766	280
732	766	279
733	767	278
734	768	277
735	769	275
736	769	274
737	770	273
738	771	272
739	772	271
740	773	270
741	774	269
742	774	268
743	775	266
744	776	265
745	777	264
746	778	263
747	779	262
748	780	261
749	780	260
750	781	259
751	783	258
752	784	257
753	784	256
754	785	255
755	786	253
756	787	252
757	788	251
758	789	250
759	790	249
760	792	248
761	793	247
762	794	246
763	796	245
764	797	244
765	798	243
766	798	242
767	799	241
768	800	240
769	801	239
770	802	238
771	803	237
772	804	236
773	805	235
774	806	234
775	806	232
776	807	231
777	808	230
778	809	229
779	810	228
780	811	227
781	812	226
782	812	225
783	813	224
784	814	223
785	815	222
786	816	220
787	817	219
788	818	218
789	819	217
790	819	216
791	820	215
792	821	214
793	823	213
794	824	212
795	825	211
796	825	210
797	826	209
798	827	208
799	828	207
800	829	205
801	829	204
802	830	203
803	831	202
804	832	201
805	833	200
806	834	199
807	834	198
808	835	197
809	836	196
810	837	195
811	838	194
812	838	192
813	839	191
814	840	190
815	841	189
816	842	188
817	843	187
818	844	186
819	845	185
820	845	184
821	846	183
822	847	182
823	848	181
824	849	180
825	850	179
826	850	178
827	851	176
828	852	175
829	853	174
830	854	173
831	855	172
832	856	171
833	856	170
834	857	169
835	858	168
836	859	167
837	860	166
838	861	165
839	861	164
840	862	163
841	863	162
842	864	161
843	865	160
844	866	158
845	867	157
846	868	156
847	869	155
848	870	154
849	871	153
850	872	152
851	873	151
852	874	150
853	876	149
854	876	148
855	878	147
856	879	146
857	880	145
858	881	144
859	882	143
860	883	142
861	884	141
862	885	140
863	886	139
864	887	138
865	888	137
866	888	136
867	889	135
868	890	134
869	891	133
870	892	132
871	893	131
872	894	130
873	895	129
874	896	128
875	897	127
876	898	126
877	899	125
878	900	123
879	901	122
880	902	121
881	903	120
882	904	119
883	905	118
884	906	117
885	907	116
886	908	115
887	909	114
888	910	113
889	910	112
890	912	111
891	912	110
892	913	109
893	914	108
894	915	107
895	916	106
896	917	105
897	918	104
898	919	103
899	920	102
900	920	101
901	921	100
902	922	99
903	923	98
904	924	97
905	925	96
906	926	95
907	927	93
908	928	92
909	929	91
910	930	90
911	930	89
912	931	88
913	932	87
914	933	86
915	934	85
916	935	84
917	936	83
918	937	82
919	937	81
920	938	80
921	939	79
922	940	78
923	941	77
924	942	76
925	943	75
926	944	74
927	945	73
928	946	72
929	947	71
930	947	70
931	948	69
932	949	68
933	950	67
934	951	66
935	952	65
936	953	64
937	953	63
938	954	62
939	955	61
940	956	59
941	957	58
942	958	57
943	959	56
944	960	55
945	961	54
946	961	53
947	962	52
948	963	51
949	964	50
950	965	49
951	965	48
952	966	47
953	967	46
954	968	45
955	969	44
956	970	43
957	970	42
958	971	41
959	972	40
960	973	39
961	974	38
962	975	37
963	975	36
964	976	35
965	977	34
966	978	33
967	978	32
968	979	31
969	980	30
970	981	29
971	982	28
972	984	27
973	984	26
974	985	25
975	986	24
976	987	23
977	988	22
978	989	21
979	990	20
980	991	19
981	992	18
982	993	17
983	994	16
984	995	15
985	995	14
986	996	13
987	997	12
988	998	11
989	999	10
990	1000	9
991	1001	8
992	1002	7
993	1002	6
994	1003	5
995	1004	4
996	1005	3
997	1006	2
998	1007	1
999	1008	0
